"Title","Artist","Album"
"At Home In Space","Fila Brazillia","Maim That Tune"
"Gasoline","Alpine","A Is For Alpine"
"Fuel to Fire","Agnes Obel","Aventine"
"Dorian","Agnes Obel","Aventine"
"All For One","Alpine","A Is For Alpine"
"Too late, all gone","How To Destroy Angels","Welcome oblivion"
"Big Ego's (Album Version (Explicit))","Dr. Dre","2001"
"Some L.A. Niggaz (Album Version (Explicit))","Dr. Dre","2001"
"Future Starts Slow","The Kills","Blood Pressures"
